Product ASIN,Product Name,Title,Rating,Actual Review
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Perfect Desk for Comfort and Productivity – A Great Buy!,5,"Height adjustment is smooth and quiet, strong build, large surface, easy setup. Great for posture and productivity."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Great product,4,Sturdy table with smooth dual motor. Delivery and installation went well.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Perfect Table for Work or Study,5,"Sturdy and spacious desk. Smooth height adjustment. Looks simple, works great."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Good Table,4,"Strong build and good adjustment, but slightly shakes when heavily loaded."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Machinery is good but delivery experience is bad,4,Damaged table was replaced. Delivery was poor initially.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Almost perfect,4,"Slight chipping on edges when hit, otherwise a great table."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Excellent Standing Desk,5,Helps reduce sitting time. Safe design and adjustable. Solid product.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Highly recommended,5,Comfortable and functional. Quick and efficient installation. Great customer service.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,"Product is good, service could be improved",4,"Product works fine, but service was initially poor. Resolved after contacting the brand."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,"Nice Table, Good Product",4,Slight polish marks and delayed delivery. Solid table and good motor. Great value overall.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Almost perfect,5,Functions as expected. Minor improvements needed in wood quality. Excellent assembly support.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Great table,5,Wrong color was initially delivered but replaced smoothly. Good product.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,I'd Recommend it!,5,Spacious and smooth installation. Concern about future disassembly and stability.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,You can go for it!,5,Great build quality. Ideal for home office.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Good product,5,Good sales service.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Decent product for the price paid,4,"Some damage on delivery, but replaced quickly. Fair quality for price."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Product is good but packaging is very bad,5,Received scratched table but customer support replaced top. Solid and large desk.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,A Fantastic Addition to My Home!,5,"Useful adjustable table. Slight wobble under pressure, but quality is great overall."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Table,4,Quiet movement of table. Thickness of table should be increased to avoid sag in between.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Great Quality & Smooth Adjustment,5,"Solid and well-built table. Height adjustment is smooth and quiet, perfect for switching between sitting and standing. Totally worth it!"
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Great work desk,5,The product is great and works very smooth. Height adjustment feature is great and has some cool memory options.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Smooth table with height adjustment,5,The product works good.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Height adjustable desk,4,"The product is really good, but the delivery from the sleep company took 21 days, which is too long."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Elegant and Sturdy Table A Perfect Addition to My Home,5,"I recently purchased this table, and it has exceeded my expectations in every way. The rich finish adds a touch of elegance to my living space, and its sturdy build ensures durability. One of the standout features is its silent operation with no creaks or wobbles, even when bearing substantial weight."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,A-one chair,4,"Awesome chair, easy to set up and moves smoothly. Been using it for 2 months and it’s comfortable, sturdy, and reliable. The finish and quality is good, looks astonishing too."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,"Comfort and easy to use, very beautiful product",5,Very useful product.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Recommended table,5,"The design is sleek and modern, fitting seamlessly into my home office. Adjusting height is incredibly simple, operating smoothly. I highly recommend this table."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Good product,5,Very much satisfied with the table. A really long table for a reasonable amount. Been using it for few months and works good.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Nice,5,The product is too good and the owner is doing the same with a noble cause we must support her.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Quality and use,5,Amazing product. Special if you are doing work from home and long hours shifts.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Stable one,5,Good.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,The best and affordable Height Adjustable table,5,"I’ve been using The Sleep Company’s automatic height adjustment table for a while now, and I’m genuinely impressed. The build quality is top-notch—sturdy, stable, and clearly made to last. The size is absolutely perfect for people like me who work long hours. The height adjustment mechanism is smooth and effortless. Premium features at an affordable price point. Highly recommended!"
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Table quality and customer service very good,5,"Table and features good and when motor was getting hot, company immediately responded and sent alternate motor. Very good focus on customer service which is most important."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Nice workplace,4,Nice workplace.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Versatile & Spacious: Perfect for Sitting or Standing,5,"After two months of use, I can confidently say this table is excellent. It offers ample space and is incredibly versatile, working well for both seated and standing positions. The surface material is durable and easy to wipe clean."
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Very good table but little costly,4,The table is very good despite being a little pricy. It offers a wide range of height for standing and sitting. The quality seems pretty good and it feels sturdy. The fit and finish of the table is of high quality.
B0D7QHDZZG,The Sleep Company - Adjustable Desk | Sit-Stand Ergonomic Table | Electric Height Adjustable Desk for Laptop | Work from Home Desk with Memory Preset Controller | 1200 x 600 Top | Black & Black,Great buy!,5,Satisfied with the overall quality. Can be dismantled and easy to transport whenever needed. Ideal for having a big workspace.
